50 9251 9251
2 985 571.0 284.0
2 986 586.0 284.0
2 987 483.0 293.0
2 988 446.0 305.0
3 989 848.0 6.0
3 990 1128.0 5.0
3 991 667.0 13.0
3 992 675.0 15.0
3 993 665.0 16.0
3 994 683.0 14.0
3 995 683.0 16.0
3 996 750.0 13.0
3 997 816.0 15.0
3 998 847.0 15.0
3 999 892.0 13.0
3 1000 665.0 23.0
3 1001 668.0 23.0
3 1002 671.0 24.0
3 1003 665.0 25.0
3 1004 671.0 26.0
3 1005 675.0 26.0
3 1006 684.0 23.0
3 1007 686.0 23.0
3 1008 683.0 26.0
3 1009 688.0 26.0
3 1010 713.0 23.0
3 1011 713.0 25.0
3 1012 750.0 24.0
3 1013 753.0 26.0
3 1014 783.0 25.0
3 1015 785.0 26.0
3 1016 805.0 25.0
3 1017 816.0 25.0
3 1018 835.0 24.0
3 1019 850.0 23.0
3 1020 844.0 24.0
3 1021 845.0 26.0
3 1022 884.0 23.0
3 1023 1128.0 25.0
3 1024 96.0 35.0
3 1025 669.0 34.0
3 1026 666.0 35.0
3 1027 664.0 36.0
3 1028 695.0 33.0
3 1029 685.0 34.0
3 1030 688.0 34.0
3 1031 713.0 34.0
3 1032 716.0 36.0
3 1033 726.0 36.0
3 1034 729.0 36.0
3 1035 736.0 36.0
3 1036 750.0 34.0
3 1037 744.0 35.0
3 1038 748.0 36.0
3 1039 754.0 36.0
3 1040 763.0 36.0
3 1041 766.0 36.0
3 1042 772.0 36.0
3 1043 786.0 33.0
3 1044 788.0 34.0
3 1045 784.0 35.0
3 1046 792.0 35.0
3 1047 796.0 35.0
3 1048 787.0 36.0
3 1049 814.0 34.0
3 1050 803.0 36.0
3 1051 828.0 34.0
3 1052 823.0 35.0
3 1053 1033.0 35.0
3 1054 1128.0 35.0
3 1055 113.0 44.0
3 1056 123.0 46.0
3 1057 665.0 44.0
3 1058 689.0 43.0
3 1059 695.0 45.0
3 1060 690.0 46.0
3 1061 709.0 43.0
3 1062 713.0 45.0
3 1063 716.0 46.0
3 1064 727.0 43.0
3 1065 730.0 43.0
3 1066 735.0 43.0
3 1067 724.0 44.0
3 1068 755.0 44.0
3 1069 749.0 46.0
3 1070 766.0 43.0
3 1071 773.0 43.0
3 1072 763.0 46.0
3 1073 786.0 44.0
3 1074 815.0 46.0
3 1075 823.0 43.0
3 1076 1031.0 46.0
3 1077 110.0 55.0
